key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
9,"w1d3","喀恩埋没圣堂",1,"古代遗迹喀恩埋没圣堂",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,35,37,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"古代遗迹喀恩埋没圣堂","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",9,8,"ui/icon/112000/112009.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,"s1d3","放浪神古神殿",1,"神灵圣域放浪神古神殿",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,45,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"神灵圣域放浪神古神殿","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",10,13,"ui/icon/112000/112010.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,"r1d1","石卫塔",1,"对龙城塞石卫塔",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,41,43,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"对龙城塞石卫塔","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",11,10,"ui/icon/112000/112012.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,"w1r1","樵鸣洞",1,"流沙迷宫樵鸣洞",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,38,40,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"流沙迷宫樵鸣洞","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",12,9,"ui/icon/112000/112011.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,"r1r1","泽梅尔要塞",1,"山中战线泽梅尔要塞",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,44,46,0,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"山中战线泽梅尔要塞","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",13,11,"ui/icon/112000/112013.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,"f1d3","无限城古堡",1,"邪教驻地无限城古堡",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,45,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"邪教驻地无限城古堡","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",14,16,"ui/icon/112000/112015.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,"w1d4","帝国南方堡",1,"帝国南方堡外围激战",False,0,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,42,0,True,True,True,False,False,0,True,False,True,False,False,False,True,"帝国南方堡外围激战","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",15,14,"ui/icon/112000/112016.tex",0,-1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,"w1d5","天幕魔导城",1,"天幕魔导城最终决战",False,0,0,0,108,"ContentMemberType#3",0,0,0,0,0,50,50,42,0,True,True,True,False,False,0,True,False,True,False,False,False,True,"天幕魔导城最终决战","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",16,15,"ui/icon/112000/112017.tex",0,-1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,"s1d4","天狼星灯塔",1,"领航明灯天狼星灯塔",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,48,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"领航明灯天狼星灯塔","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",17,17,"ui/icon/112000/112027.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,"w1d6","铜铃铜山",1,"骚乱坑道铜铃铜山",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,48,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"骚乱坑道铜铃铜山","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",18,18,"ui/icon/112000/112025.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,"f1d4","静语庄园",1,"恶灵府邸静语庄园",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,48,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"恶灵府邸静语庄园","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",19,19,"ui/icon/112000/112026.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,"s1d6","布雷福洛克斯野营地",1,"纷争要地布雷福洛克斯野营地",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,55,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"纷争要地布雷福洛克斯野营地","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",20,22,"ui/icon/112000/112048.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,"w1d7","日影地修炼所",1,"剑斗领域日影地修炼所",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,55,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"剑斗领域日影地修炼所","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",21,21,"ui/icon/112000/112049.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,"f1d5","无限城市街古迹",1,"腐坏遗迹无限城市街古迹",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,55,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"腐坏遗迹无限城市街古迹","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",22,20,"ui/icon/112000/112042.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,"s1d5","破舰岛",1,"财宝传说破舰岛",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,70,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"财宝传说破舰岛","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",23,23,"ui/icon/112000/112058.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,"f1d6","塔姆·塔拉墓园",1,"惨剧灵殿塔姆·塔拉墓园",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,70,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"惨剧灵殿塔姆·塔拉墓园","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",24,24,"ui/icon/112000/112059.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,"r1d2","石卫塔",1,"激战城塞石卫塔",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,70,110,True,True,True,False,False,1,True,False,True,False,False,False,True,"激战城塞石卫塔","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",25,25,"ui/icon/112000/112060.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,"w1d8","喀恩埋没圣堂",1,"苏醒遗迹喀恩埋没圣堂",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,80,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"苏醒遗迹喀恩埋没圣堂","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",26,28,"ui/icon/112000/112068.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,"r1d3","披雪大冰壁",1,"凛冽洞天披雪大冰壁",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,80,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"凛冽洞天披雪大冰壁","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",27,26,"ui/icon/112000/112066.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,"s1d7","沙斯塔夏溶洞",1,"逆转要害沙斯塔夏溶洞",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,80,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"逆转要害沙斯塔夏溶洞","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",28,27,"ui/icon/112000/112067.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,"f1d7","无限城古堡",1,"邪念妖地无限城古堡",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,90,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"邪念妖地无限城古堡","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",29,31,"ui/icon/112000/112077.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,"s1d8","放浪神古神殿",1,"武装圣域放浪神古神殿",False,0,0,0,108,"ContentMemberType#2",0,0,0,0,0,50,50,90,0,True,True,True,False,False,1,True,False,True,False,False,False,True,"武装圣域放浪神古神殿","迷宫挑战","这座雄伟的庄园原本是历代幻术皇的住所，在前前任幻术皇主政期间推行了部分改革，这座庄园也以“过于奢侈”为由停止了使用。后来被森林之民的某个名门家族收购了，

现任家主阿芒迪娜是一位以美貌而闻名的妙龄女士。但是在灵灾中她的脸上却受到了很重的伤，随后便逐渐淡出了人们的视线。难道她为了取回失去的美貌而与什么人结下了契约……",30,30,"ui/icon/112000/112078.tex",0,-1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,"d2d3","迦巴勒幻想图书馆",1,"学识宝库迦巴勒幻想图书馆",False,1,0,0,108,"ContentMemberType#2",0,0,0,0,0,59,60,0,150,True,True,True,False,False,1,True,False,True,False,False,False,True,"学识宝库迦巴勒幻想图书馆","迷宫挑战","乌尔达哈的斗技场财团为了训练旗下的角斗士而设立的修炼所。在其内部饲养了大量的魔物和野兽。但是，在第七灵灾的混乱期间，管理者放弃了继续维护这里。一般人都认为那些失去了主人的魔兽得不到食物都会饿死在其中了。

可是经过了5年的岁月，当有人再次踏入这座设施之内时，他所看到的，是经过了5年的残酷竞争而生存下来的魔兽，无论力量还是凶暴程度都得到了大幅增长。",31,44,"ui/icon/112000/112091.tex",0,-1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
